id;hotel_name;address;stars;phone;website;ostrovok_url;source_url;enrichment_source
1;Гостиница Radisson Blu Олимпийский, Москва;Samarskaya street, 1, Москва, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid8869780/radisson_blu_olympiyskiy_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
2;Отель Новотель Москва Киевская;улица Киевская дом 2, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8661280/novotel_moscow_kievskaya/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
3;Бутик-отель Софит;пер. Сытинский, д.3/5, помещ. 4/1, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8849518/sofit_butikhotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
4;Отель Swissotel Красные Холмы;Космодамианская наб., д. 52, стр.6, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7590804/swissotel_krasnye_holmy/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
5;Сафмар Грандъ Москва (бывший Марриотт Гранд);ул. Тверская, 26/1, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid11231733/safmar_grand_moscow_exmarriott_grand/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
6;Отель Москва Марриотт Империал Плаза;Краснопрудная, 12, Москва  107140 Российская Федерация, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid9988092/moscow_marriott_imperial_plaza_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
7;Отель Москва Красносельская (бывший Хилтон Гарден Инн Красносельская);Верхняя Красносельская улица, д.11Ас4, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid9751449/hilton_garden_inn_moscow_krasnoselskaya_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
8;Сафмар Аврора Люкс (бывший Марриотт Ройал Аврора);улица Петровка, 11, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7597450/gostinitsa_marriott_roiial_avrora/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
9;Отель Лесная Сафмар (бывший Холидей Инн Москва Лесная);улица Лесная, д. 15, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7467380/kholidei_inn_moskva_lesnaia/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
10;Отель Hyatt Regency Moscow Petrovsky Park;Ленинградский проспект 36 строение 33, Москва;5;+7 495 479-12-34;https://hyatt.com;https://ostrovok.ru/hotel/russia/moscow/mid10001298/petrovskij_park_congress_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;moscow_hotels_contacts.csv
11;Отель Холидей Таганский;ул. Симоновский Вал, 2, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7467389/kholidei_inn_moskva_simonovskii/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
12;Отель Pentahotel Moscow Arbat;улица Новый Арбат, 15, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8869717/pentahotel_moscow_arbat/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
13;Отель Сафмар Тверская Москва (бывший Марриотт Тверская);ул. 1-я Тверская Ямская, д. 34, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7597423/gostinitsa_marriott_tverskaia/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
14;Отель Ваш Салют Апарт;проспект Ленинский, д. 158, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid11176521/salyut_aparthotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
15;Гостиница Националь Москва;улица Моховая, д. 15/1, стр. 1, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7467340/gostinitsa_natsional_moskva/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
16;Отель Mercure Москва Павелецкая;улица Бахрушина, д 11 , Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8326248/mercure_moscow_paveletskaya_2/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
17;Гостиница Radisson Blu Белорусская, Москва;3-я ул. Ямского поля, д. 26А, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7858838/redisson_belorusskaia_moskva/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
18;Отель Palmira Art;улица 4-я Магистральная, д. 4/11, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid13287330/palmira_art_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
19;Отель Вега Измайлово;Измайловское шоссе, д. 71, стр. 3В, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7467768/best_western_vega_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
20;Отель Континенталь;Тверская улица, д.22 , Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7741106/interkontinental_moskva/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
21;AZIMUT Сити Отель Олимпик Москва;Олимпийский пр-т, д. 18/1, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7597419/azimut_moscow_olympic_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
22;Гостиница Рэдиссон Славянская;Площадь Евразии, д.2, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7467357/otel_radisson_slavyanskaya_and_business_centre/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
23;Отель Glenver Garden;Кожевническая улица, д.4, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid11236308/glenver_garden_paveletskaya_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
24;Отель Сущевский Сафмар (бывший Холидей Инн Москва Сущевский);улица Сущевский Вал, д. 74, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7467381/kholidei_inn_sushchevskii/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
25;Отель Сафмар Палас Москва;1-ая Тверская Ямская ул., д. 19, Москва, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7597114/gostinitsa_sheraton_palas_moskva/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
26;Отель Холидей Инн Москва Сокольники;Русаковская улица, д. 24, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7600142/otel_kholidei_inn_moskva_sokolniki/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
27;Апарт-отель Анис Стайл Москва Октябрьское Поле;3-я Хорошёвская улица, д.23А, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid10437053/anisstayl_moskva_oktyabryskoye_pole_aparthotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
28;Отель Дельта Измайлово;Измайловское шоссе, д. 71, корп. 4 Г-Д, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7402133/otel_izmailovo_delta/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
29;ENZO Hotel Moscow by ZONT Hotel Group;Поклонная улица, 9, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid13725634/enzo_hotel_moscow_by_zont_hotel_group/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
30;Plaza Garden Moscow WTC Hotel;набережная Краснопресненская, дом 12, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid8075994/crowne_plaza_moscow_world_trade_centre/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
31;Отель Hampton by Hilton Moscow Рогожский вал;улица Рогожский Вал, дом 10, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid9770069/hampton_by_hilton_moscow_rogozhsky_val/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
32;Отель Звёзды Арбата;ул. Новый Арбат, 32, Москва, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid8139930/moscow_marriott_hotel_novy_arbat/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
33;Отель Mercure Арбат Москва;Смоленская площадь, д.6, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7796014/mercure_arbat_moscow/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
34;AZIMUT Сити Отель Смоленская Москва;ул. Смоленская, д.8, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8744391/azimut_hotel_smolenskaya_moscow/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
35;Отель Альянс Бородино;ул. Русаковская, д. 13, стр. 5, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7599836/borodino_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
36;AZIMUT Отель Аэростар Москва;Ленинградский проспект, д.37 строение 9, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7598118/aerostar_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
37;Отель Арт Москва, ZONT Hotel Group;улица Космонавта Волкова, д.6 А, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8748812/art_moskva_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
38;Отель Novotel Москва Центр;Новослободская улица, д. 23, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7806857/novotel_moskva_tsentr/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
39;Гостиница Radisson Collection Москва;Кутузовский пр-т, д. 2/1 стр.1, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid8876782/radisson_collection_hotel_moscow/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
40;Отель Novotel Москва Сити;Пресненская Набережная, д. 2, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7620527/novotel_moscow_city_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
41;Отель Балчуг Кемпински Москва;улица Балчуг, д. 1, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7590814/hotel_baltschug_kempinski_moscow/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
42;Отель Soluxe Hotel Moscow;улица Вильгельма Пика, д. 16, Москва;5;+7 495 139-20-20;https://soluxehotelmoscow.com;https://ostrovok.ru/hotel/russia/moscow/mid10480541/soluxe_hotel_moscow/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;moscow_hotels_contacts.csv
43;Отель Арткорт Москва Центр;Вознесенский переулок, д.7, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7597525/courtyard_by_marriott_moscow_city_center/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
44;Отель Brosko Moscow;улица Новый Арбат, д. 21, строение 2, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8854267/hotel_brosko/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
45;Отель Измайлово Альфа;Измайловское шоссе, д.71 А, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7467385/izmailovo_alpha_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
46;Отель Viewpoint Hotel;Садовническая набережная, д. 7, помещ. 50, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8878179/balchug_viewpoint_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
47;Отель Cosmos Selection Москва Внуково Спорт Отель;вн.тер.г. муниципальный округ Внуково, ул. Большая Внуковская, д. 8, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid13866274/hotel_kosmos_selekshn_moskva_vnukovo_sport_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
48;Отель Cosmos Selection Москва Арбат;улица Новый Арбат, 2, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid13369156/hotel_cosmos_selection_moscow_arbat/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
49;Гостиница Золотое Кольцо;Смоленская улица, 5, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7467289/golden_ring_hotel_2/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
50;Aquamarine;Озерковская наб., д. 26, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid9291722/crowne_plaza_moscow_tretyakovskaya/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
51;Отель Cosmos Москва Павелецкая;улица Кожевническая, д. 8, стр. 3, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7765017/courtyard_by_marriott_moscow_paveletskaya_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
52;Отель Hilton Москва Ленинградская;Каланчевская ул.21/40, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7601804/gostinitsa_khilton_leningradskaia/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
53;Апарт-отель Yes Technopark;проспект Андропова, д.10, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid10151494/apartotel_yes_technopark/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
54;Отель Movenpiсk Москва Таганская;улица Земляной Вал, д.70, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid9260139/movenpick_moscow_taganskaya/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
55;Отель Maidens Hotel;Зубовская площадь, 3 строение 1, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid13100159/hotel_maidens_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
56;Отель Веллион Смоленский;переулок Сивцев Вражек, 45, строение 1, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid13297596/boutique_hotel_vellion_smolenskiy/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
57;Барин Резиденс Центр;Ulitsa Sadovnicheskaya 8, Москва, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8854270/barin_rezidence_balchug/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
58;Отель Mercure Москва Бауманская;Бауманская улица, д.54, стр. 1, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8142740/mercure_moscow_baumanskaya/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
59;Отель Edge Seligerskaya Moscow;Коровинское шоссе, д.10, Москва;4;+7 495 645-00-00;https://edgeseligerskaya.ru;https://ostrovok.ru/hotel/russia/moscow/mid7600189/iris_congress_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;moscow_hotels_contacts.csv
60;Отель Савой;улица Рождественка, д.3/6, стр.1, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7573372/savoy_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
61;Отель Norke Prime Бауманская;улица Доброслободская, д. 6 стр. 1, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid11161354/norke_prime_baumanskaya_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
62;Отель Novotel Москва Аэропорт Шереметьево;Международное шоссе, вл. 3, Химки;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7590072/novotel_moskva_sheremetevo/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
63;Отель Пальмира Бизнес Клуб;Новоданиловская наб., д. 6, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid11157982/palmira_business_club_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
64;Отель WineWood Moscow;улица Красная Пресня, д.30 стр.3, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8854262/winewood_moscow_lounge_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
65;Бутик-отель Петровка 26;улица Петровка, д. 26с8, помещ. 1Н, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid10675430/petrovka_26_boutiquehotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
66;Отель Edge Vinogradovo Moscow;Дмитровское шоссе, д. 171, Москва;4;+7 495 645-00-02;https://edgevinogradovo.ru;https://ostrovok.ru/hotel/russia/moscow/mid7601773/kholidei_inn_moskva_vinogradovo/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;moscow_hotels_contacts.csv
67;Отель МонАрх Москва (ранее Ренессанс Монарх);Ленинградский проспект 31 А стр.1, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7469066/otel_renaissance_moscow_monarch_centre/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
68;Отель DoubleTree Москва Арбат;Никитский бул., 10, Москва, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid9989265/doubletree_by_hilton_moscow_arbat/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
69;Отель Sunflower Румянцево ZONT Hotel Group;Kievskoe shosse, 22nd km, Business-park Rumjantsevo, estate 4, building E, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7770730/otel_insaidbiznes/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
70;Отель Билибин Гарден Москва;улица Садовническая, д.5, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8660992/otel_troika_moskva/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
71;Отель Astrus;проспект Ленинский, д.146, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7467913/astrus_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
72;Отель Radisson Blu Ленинский проспект, Москва;Ленинский проспект, дом 90/3, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid10621095/hotel_radisson_blu_leninsky_prospect_hotel_moscow/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
73;Отель Метрополь;Театральный пр-д, д.2, Москва;5;;;https://ostrovok.ru/hotel/russia/moscow/mid7595994/metropol_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
74;AZIMUT Сити Отель Тульская Москва;Варшавское шоссе, 9, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7768573/azimut_moscow_tulskaya_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
75;Гостиница «Президент-Отель»;улица Большая Якиманка, д. 24, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7467290/president_3/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
76;Апарт-отель Адажио Москва Киевская;улица Киевская, дом 2, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid9204547/adazhio_moskva_kievskaya_aparthotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
77;Апарт-отель Norke Prime Сретенка;улица Сретенка, 36, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid10864367/apartotel_norke_prime_sretenskaya/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
78;Бутик-отель PR Myasnitsky;улица Мясницкая, д.13/3, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid8753290/pr_myasnitsky_boutique_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
79;Отель Россо Рива;Шлюзовая набережная, д. 6, стр. 2, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7597146/katerina_city_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
80;Select Hotel Paveletskaya;Стремянный переулок, д.11, помещ. 1/П, Москва;4;+7 495 788-77-00;https://select-hotel.ru;https://ostrovok.ru/hotel/russia/moscow/mid7596982/tatiana/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;moscow_hotels_contacts.csv
81;Отель Салют;Ленинский проспект, д.158, Москва;4;;;https://ostrovok.ru/hotel/russia/moscow/mid7830709/salut_hotel/;https://ostrovok.ru/hotel/russia/moscow/?stars=5.4;ostrovok_listing
