Название компании,Название сделки,Телефон,Email,Сайт
"""Комната"". Бильярд, Музыка, Еда.","""Комната"". Бильярд, Музыка, Еда.",79812917202,,https://www.loft2rent.ru/loft/162190/162193
"""Культурный зал""","""Культурный зал""",79213544851,,https://www.loft2rent.ru/loft/110170
"""ЛОФТ-БАР"" с караоке","""ЛОФТ-БАР"" с караоке",79626992144,,https://www.loft2rent.ru/loft/80548
"""Не верь никому"" - Караоке лофт Секретные Материалы","""Не верь никому"" - Караоке лофт Секретные Материалы",73433630042,,https://www.loft2rent.ru/loft/115047
"""Ничто не вечно"" - Караоке лофт Секретные Материалы","""Ничто не вечно"" - Караоке лофт Секретные Материалы",73433630042,,https://www.loft2rent.ru/loft/115047
"""Подземелье Слизерин""","""Подземелье Слизерин""",79013337731,,https://www.loft2rent.ru/loft/39148
#СибирьСибирь,#СибирьСибирь,74996525161,,https://moscow.sibirsibir.ru/
+39 Trattoria&Pizzeria,+39 Trattoria&Pizzeria,79671267160,,https://39trattoriapizzeria.ru/
0.75 Please,0.75 Please,73912152913,075pls@bk.ru,https://075please.ru
0.75 please,0.75 please,79850750750,,https://075please.moscow/
1 Арт Отель,1 Арт Отель,74953239994,sl@1arthotel.ru,https://1arthotel.ru
1 Арт Отель,1 Арт Отель,,,https://ostrovok.ru/hotel/russia/moscow/mid9764903/1_art_hotel
1 зал Караоке Лофт-студии,1 зал Караоке Лофт-студии,79689924484,,https://www.loft2rent.ru/loft/12511
1 Зал Шайн 45 м2,1 Зал Шайн 45 м2,79612267251,,https://www.loft2rent.ru/loft/125716
16 Тонн Арбат,16 Тонн Арбат,79264331399,,https://www.loft2rent.ru/loft/197584/201762
"1839Винтажный зал в центре Москвы, зал Винтаж","1839Винтажный зал в центре Москвы, зал Винтаж",79299081101,,https://www.loft2rent.ru/loft/210279/210337
1930 Moscow,1930 Moscow,79257471930,hello@1930.moscow,https://1930.moscow
1930 Moscow,1930 Moscow,79257471930,,https://www.loft2rent.ru/loft/81295/81299
2 Зал Караоке Лофт-студии,2 Зал Караоке Лофт-студии,79689924484,,https://www.loft2rent.ru/loft/12511
2-х уровневое пространство с террасой,2-х уровневое пространство с террасой,79031888081,,https://www.loft2rent.ru/loft/49928
207,207,79689739030,,https://www.loft2rent.ru/loft/2518
"21.KultСтаринные залы в особняке 18 века ""21.KULT""","21.KultСтаринные залы в особняке 18 века ""21.KULT""",79895952121,,https://www.loft2rent.ru/loft/82207/82209
2x2 TV,2x2 TV,74957255400,abuse@2x2tv.ru,https://2x2tv.ru
3 Зал Бруклин 100 м2,3 Зал Бруклин 100 м2,79612267251,,https://www.loft2rent.ru/loft/125716
3 зал Караоке Лофт-студии,3 зал Караоке Лофт-студии,79689924484,,https://www.loft2rent.ru/loft/12511
3-е место - лофт на Тульской,3-е место - лофт на Тульской,79166683000,,https://www.loft2rent.ru/loft/75181
300м²Апартамент в башне Москва - Сити Око на 70 этаже за МИЛЛИАРД,300м²Апартамент в башне Москва - Сити Око на 70 этаже за МИЛЛИАРД,79111023333,,https://www.loft2rent.ru/loft/107530
314 LoftЛофт на Кленовом бульваре \,314 LoftЛофт на Кленовом бульваре \,,,лофт
3DNews,3DNews,74959882090,admin@3dnews.ru,https://3dnews.ru
4 зал Караоке Лофт-студии,4 зал Караоке Лофт-студии,79689924484,,https://www.loft2rent.ru/loft/12511
44 Sky Daimond Aparment,44 Sky Daimond Aparment,79958998202,,https://www.loft2rent.ru/loft/171815
45 floor Big Apartments Москва Сити,45 floor Big Apartments Москва Сити,79958998202,,https://www.loft2rent.ru/loft/171815
46 Black Apartments Москва Сити,46 Black Apartments Москва Сити,79958998202,,https://www.loft2rent.ru/loft/171815
4Brewers pub,4Brewers pub,79364444815,,https://www.loft2rent.ru/loft/196740/197421
5 Зал Лондон 90 м2,5 Зал Лондон 90 м2,79612267251,,https://www.loft2rent.ru/loft/125716
54 floor Rise Global Угловой большой апартамент с заворажевающим видом на башни и Столицу!,54 floor Rise Global Угловой большой апартамент с заворажевающим видом на башни и Столицу!,79958998202,,https://www.loft2rent.ru/loft/171815
55 floor Atlanta Apartments Москва Сити,55 floor Atlanta Apartments Москва Сити,79958998202,,https://www.loft2rent.ru/loft/171815
6 Зал Мани 55 м2,6 Зал Мани 55 м2,79612267251,,https://www.loft2rent.ru/loft/125716
61 floor Sky Апартмент в Москва Сити,61 floor Sky Апартмент в Москва Сити,79958998202,,https://www.loft2rent.ru/loft/171815
66 floor Magic Апартаменты в Москва Сити,66 floor Magic Апартаменты в Москва Сити,79958998202,,https://www.loft2rent.ru/loft/171815
66 floor Rise Apartments EXСLUSIVE Угловой апартамент с замораживающим видом и ванной у окна!,66 floor Rise Apartments EXСLUSIVE Угловой апартамент с замораживающим видом и ванной у окна!,79958998202,,https://www.loft2rent.ru/loft/171815
"71,2 м² Апартамент на 65 этаже Москва Сити с видом на комплекс башен Neva Towers (Moscow city Neva Towers)","71,2 м² Апартамент на 65 этаже Москва Сити с видом на комплекс башен Neva Towers (Moscow city Neva Towers)",79111023333,,https://www.loft2rent.ru/loft/107530
76 floor Rise Apartments Шикарный апартамент с видом на Москву!,76 floor Rise Apartments Шикарный апартамент с видом на Москву!,79958998202,,https://www.loft2rent.ru/loft/171815
"80 этаж! Самый высокий апартамент! Вид на МГУ, Лужники, Парк Победы, башни и город!","80 этаж! Самый высокий апартамент! Вид на МГУ, Лужники, Парк Победы, башни и город!",79958998202,,https://www.loft2rent.ru/loft/171815
800 Contemporary,800 Contemporary,74997693333,,https://800degreesmoscow.ru/
90FloorMYTH \,90FloorMYTH \,,,лофт
90FloorSKY \,90FloorSKY \,,,лофт
90FloorПанорамный ресторан китайской кухни MUME,90FloorПанорамный ресторан китайской кухни MUME,74954899090,,https://www.loft2rent.ru/loft/63709/123926
[KU:] Рамен Изакая,[KU:] Рамен Изакая,74996090069,,https://kuramen.ru/
A-More Loft / А'Море,A-More Loft / А'Море,79772959526,,https://www.loft2rent.ru/loft/104772
A101 Development,A101 Development,74991101873,,https://a101.ru
Aaark,Aaark,,,https://alfa.me/db1OAY
AB InBev Efes,AB InBev Efes,,info@napitkivmeste.ru,https://abinbevefes.ru
Academia Antikino / Академия АнтикиноБор,Academia Antikino / Академия АнтикиноБор,79197251716,,https://www.loft2rent.ru/loft/124262/124576
Academia Antikino / Академия АнтикиноКлассический лофт Академии,Academia Antikino / Академия АнтикиноКлассический лофт Академии,79197251716,,https://www.loft2rent.ru/loft/124262/124649
Academia Antikino / Академия АнтикиноСаванна,Academia Antikino / Академия АнтикиноСаванна,79197251716,,https://www.loft2rent.ru/loft/124262/124578
Academia Antikino / Академия АнтикиноТропики,Academia Antikino / Академия АнтикиноТропики,79197251716,,https://www.loft2rent.ru/loft/124262/124567
Accademia del GustoКулинарная студия Accademia del Gusto,Accademia del GustoКулинарная студия Accademia del Gusto,74993254167,,https://www.loft2rent.ru/loft/34892/35122
Accademia del GustoКулинарная студия Accademia del Gusto (зал 2),Accademia del GustoКулинарная студия Accademia del Gusto (зал 2),74993254167,,https://www.loft2rent.ru/loft/34892/42748
Adagio Kievskaya,Adagio Kievskaya,74956605353,h8225-re@accor.ru,https://adagiokievskaya.ru
Adagio Moscow Sheremetyevo,Adagio Moscow Sheremetyevo,74957205303,h8223@accor.ru,https://accor.ru/moscow/adagio-moscow-paveletskaya
AdIndex,AdIndex,74957894749,help@adindex.ru,https://adindex.ru
AdMe,AdMe,,,https://adme.media
Adornos Center,Adornos Center,79850787134,,https://www.loft2rent.ru/loft/207664/207805
Aerostar,Aerostar,375172152263,baltaerostar@yandex.ru,https://aerogrupp.ru
