Телефон,Организация
79812917202,"""Комната"". Бильярд, Музыка, Еда."
79213544851,"""Культурный зал"""
79626992144,"""ЛОФТ-БАР"" с караоке"
73433630042,"""Не верь никому"" - Караоке лофт Секретные Материалы"
79013337731,"""Подземелье Слизерин"""
74996525161,#СибирьСибирь
79671267160,+39 Trattoria&Pizzeria
73912152913,0.75 Please
79233552913,0.75 Please
79850750750,0.75 please
74953239994,1 Арт Отель
74953239999,1 Арт Отель
79685084754,1 Арт Отель
79689924484,1 зал Караоке Лофт-студии
79612267251,1 Зал Шайн 45 м2
79264331399,16 Тонн Арбат
79299081101,"1839Винтажный зал в центре Москвы, зал Винтаж"
79257471930,1930 Moscow
79031888081,2-х уровневое пространство с террасой
79689739030,207
79895952121,"21.KultСтаринные залы в особняке 18 века ""21.KULT"""
74957255400,2x2 TV
74957378717,2x2 TV
74957806039,2x2 TV
79166683000,3-е место - лофт на Тульской
79111023333,300м²Апартамент в башне Москва - Сити Око на 70 этаже за МИЛЛИАРД
74959882090,3DNews
79958998202,44 Sky Daimond Aparment
79364444815,4Brewers pub
74997693333,800 Contemporary
74954899090,90FloorПанорамный ресторан китайской кухни MUME
74996090069,[KU:] Рамен Изакая
79772959526,A-More Loft / А'Море
74991101873,A101 Development
79197251716,Academia Antikino / Академия АнтикиноБор
74993254167,Accademia del GustoКулинарная студия Accademia del Gusto
74956605353,Adagio Kievskaya
74957205303,Adagio Moscow Sheremetyevo
74957894749,AdIndex
79096229002,AdIndex
79850787134,Adornos Center
73833633194,Aerostar
74957803141,Aerostar
74996539193,Aerostar
78123345401,Aerostar
79052475823,Aerostar
79081534858,Aerostar
79182980559,Aerostar
79191314877,Aerostar
79191705445,Aerostar
79207000214,Aerostar
79851126091,Aerostar
79874055898,Aerostar
73432268606,Aerostar Hotel
73432726555,Aerostar Hotel
73452593444,Aerostar Hotel
73452593777,Aerostar Hotel
73456262701,Aerostar Hotel
73456399104,Aerostar Hotel
73472359000,Aerostar Hotel
73525369009,Aerostar Hotel
73525369205,Aerostar Hotel
73533622445,Aerostar Hotel
73832176970,Aerostar Hotel
73832231215,Aerostar Hotel
73833164165,Aerostar Hotel
73842496505,Aerostar Hotel
73842777450,Aerostar Hotel
73857720566,Aerostar Hotel
73857720568,Aerostar Hotel
73902248395,Aerostar Hotel
73952705070,Aerostar Hotel
74015321608,Aerostar Hotel
74015321609,Aerostar Hotel
74015322489,Aerostar Hotel
74015322659,Aerostar Hotel
74112391313,Aerostar Hotel
74112500585,Aerostar Hotel
74113646409,Aerostar Hotel
74212755552,Aerostar Hotel
74212755553,Aerostar Hotel
74232412808,Aerostar Hotel
74232413500,Aerostar Hotel
74242300877,Aerostar Hotel
74732065857,Aerostar Hotel
74732065858,Aerostar Hotel
74739141086,Aerostar Hotel
74739172312,Aerostar Hotel
74752631111,Aerostar Hotel
74752631127,Aerostar Hotel
74842500000,Aerostar Hotel
74852590905,Aerostar Hotel
74852590909,Aerostar Hotel
74853567000,Aerostar Hotel
74853567067,Aerostar Hotel
74853567070,Aerostar Hotel
74853567076,Aerostar Hotel
74872268682,Aerostar Hotel
74950217659,Aerostar Hotel
74951815800,Aerostar Hotel
